Dipartimento,Materia
Aut,Ele3
Aut,Ele4
Aut,Ele5
Aut,Sis3
Aut,Sis4
Aut,Sis5
Aut,Tpe3
Aut,Tpe4
Aut,Tpe5
Eln,Ele3
Eln,Ele4
Eln,Ele5
Eln,Sis3
Eln,Sis4
Eln,Sis5
Eln,Tpe3
Eln,Tpe4
Eln,Tpe5
Elt,Ele3
Elt,Ele4
Elt,Ele5
Elt,Sis3
Elt,Sis4
Elt,Sis5
Elt,Tpe3
Elt,Tpe4
Elt,Tpe5
Inf,Gpo
Inf,Inf3
Inf,Inf4
Inf,Inf5
Inf,Sre3
Inf,Sre4
Inf,Sre5
Inf,Tlc3
Inf,Tlc4
Inf,Tlc5
Inf,Tpi3
Inf,Tpi4
Inf,Tpi5
Ing,Ing1
Ing,Ing2
Ing,Ing3
Ing,Ing4
Ing,Ing5
Ita,Ita1
Ita,Ita2
Ita,Ita3
Ita,Ita4
Ita,Ita5
Ita,Sto1
Ita,Sto2
Ita,Sto3
Ita,Sto4
Ita,Sto5
Mat,Cma3
Mat,Cma4
Mat,Mat1
Mat,Mat2
Mat,Mat3
Mat,Mat4
Mat,Mat5
Sci,Chi1
Sci,Chi2
Sci,Fis1
Sci,Fis2
Sci,Sci
Sci,Bio
Tec,Tec1
Tec,Tec2
Tec,Tei
Tec,Te
Tlc,Gpo
Tlc,Inf3
Tlc,Inf4
Tlc,Inf5
Tlc,Sre3
Tlc,Sre4
Tlc,Sre5
Tlc,Tlc3
Tlc,Tlc4
Tlc,Tlc5
Tlc,Tpi3
Tlc,Tpi4
Tlc,Tpi5
Ums,Dir1
Ums,Dir2
Ums,Geo
Ums,Rel1
Ums,Rel2
Ums,Rel3
Ums,Rel4
Ums,Rel5
Ums,Scm1
Ums,Scm2
Ums,Scm3
Ums,Scm4
Ums,Scm5
